id,nome,ano_lancamento,genero,developer,franchise,descricao,metacritic,nota_kadu,nota_pavam,historico_importante,historico_influente
1,Final Fantasy VII,1997,RPG,Square Enix,Final Fantasy,"Um RPG que levou a escala cinematográfica e a ambição narrativa a um novo patamar no PlayStation. Final Fantasy VII marcou uma geração com seu mundo industrial, personagens memoráveis e uma história sobre identidade, perda e resistência.",92,,,,
2,Resident Evil 2,1998,Survival Horror,Capcom,Resident Evil,"Resident Evil 2 ampliou o terror de sobrevivência ao transformar Raccoon City em um espaço opressivo, conectado e cheio de ameaças. Suas campanhas paralelas, atmosfera e ritmo ajudaram a consolidar a fórmula da série e o gênero no fim dos anos 1990.",89,,,,
3,Metal Gear Solid,1998,Stealth,Konami,Metal Gear,"Metal Gear Solid combinou furtividade, direção cinematográfica e temas políticos em uma experiência que parecia muito maior do que o hardware permitia. Sua linguagem de câmera, dublagem e narrativa ajudou a redefinir o que um jogo de ação poderia comunicar.",94,,,,
4,The Legend of Zelda: Ocarina of Time,1998,Action-Adventure,Nintendo,The Legend of Zelda,"Ocarina of Time estabeleceu uma referência duradoura para aventuras em três dimensões, especialmente em câmera, exploração e combate com alvo fixo. Hyrule ganhou escala, ritmo e memória, tornando a jornada de Link um dos registros mais influentes do meio.",99,,,,
5,Silent Hill,1999,Survival Horror,Konami,Silent Hill,"Silent Hill trocou sustos diretos por névoa, ruído e desconforto psicológico. Sua cidade funciona como lugar e estado mental, inaugurando uma abordagem mais íntima do horror e mostrando que limitações técnicas também poderiam se tornar parte essencial da atmosfera.",86,,,,
6,Deus Ex,2000,RPG,Ion Storm,Deus Ex,"Deus Ex uniu RPG, furtividade, ação e escolhas em fases abertas que aceitavam soluções muito diferentes. Ao colocar conspirações, tecnologia e liberdade do jogador no centro da experiência, tornou-se uma referência para jogos imersivos e sistemas interligados.",90,,,,
7,Halo: Combat Evolved,2001,First-Person Shooter,Bungie,Halo,"Halo: Combat Evolved adaptou o tiro em primeira pessoa aos controles de console com clareza, ritmo e precisão. Sua campanha, inteligência artificial e estrutura de combate ajudaram a definir o gênero no Xbox e influenciaram uma geração de shooters.",97,,,,
8,Max Payne,2001,Third-Person Shooter,Remedy Entertainment,Max Payne,"Max Payne transformou o bullet time em linguagem de combate e estética narrativa. Com tiroteios coreografados, clima noir e uma história contada como romance policial fragmentado, o jogo aproximou ação, cinema e melancolia de uma forma muito particular.",89,,,,
9,GTA: Vice City,2002,Open World,Rockstar North,Grand Theft Auto,"Vice City transformou a cidade aberta em uma fantasia cultural marcada por música, moda e crime nos anos 1980. Sua identidade audiovisual mostrou como um mundo virtual poderia ser lembrado não apenas por missões, mas pela sensação de simplesmente existir nele.",95,,,,
10,Prince of Persia: The Sands of Time,2003,Action-Adventure,Ubisoft Montreal,Prince of Persia,"The Sands of Time renovou Prince of Persia com acrobacias fluidas, manipulação temporal e uma narrativa de aventura elegante. O controle do tempo tornou erro, movimento e história partes do mesmo sistema, influenciando muitos jogos de ação que vieram depois.",92,,,,
11,GTA: San Andreas,2004,Open World,Rockstar North,Grand Theft Auto,"San Andreas expandiu a fórmula de mundo aberto com três cidades, personalização, atividades e uma sensação incomum de liberdade. A jornada de CJ também transformou o cenário em retrato cultural, fazendo do jogo um dos mundos virtuais mais reconhecíveis de sua geração.",95,,,,
12,Halo 2,2004,First-Person Shooter,Bungie,Halo,"Halo 2 ampliou a escala da série com campanha dividida, conflitos mais complexos e uma estrutura online decisiva para os consoles. Seu multiplayer ajudou a normalizar partidas conectadas no Xbox e estabeleceu expectativas que permaneceriam por muitos anos.",95,,,,
13,Metal Gear Solid 3: Snake Eater,2004,Stealth,Konami,Metal Gear,"Snake Eater levou Metal Gear ao passado e aproximou espionagem, sobrevivência e drama pessoal. A selva, o sistema de camuflagem e a relação entre Snake e The Boss criaram uma obra ao mesmo tempo política, trágica e profundamente humana.",91,,,,
14,Resident Evil 4,2005,Survival Horror,Capcom,Resident Evil,"Resident Evil 4 reposicionou a câmera, acelerou o combate e redefiniu a ação em terceira pessoa. Seu enquadramento sobre o ombro e o ritmo preciso influenciaram inúmeros jogos, enquanto a vila e seus encontros permaneceram como imagens centrais do horror moderno.",96,,,,
15,Half-Life 2,2004,First-Person Shooter,Valve,Half-Life,"Half-Life 2 integrou narrativa, física e exploração sem interromper constantemente o controle do jogador. City 17, a Gravity Gun e a direção ambiental mostraram como tecnologia e construção de mundo poderiam avançar juntas dentro de um shooter.",96,,,,
16,God of War,2005,Hack and Slash,Santa Monica Studio,God of War,"God of War apresentou uma ação brutal, imediata e cinematográfica inspirada na mitologia grega. A escala dos confrontos, o ritmo e a figura de Kratos transformaram o jogo em uma referência do PlayStation 2 e do gênero hack and slash.",94,,,,
17,Shadow of the Colossus,2005,Action-Adventure,Team Ico,Shadow of the Colossus,"Shadow of the Colossus reduziu a aventura a paisagem, silêncio e confrontos contra criaturas monumentais. Sua escala comunica solidão e culpa sem depender de longas explicações, fazendo de cada colosso uma batalha e uma lembrança difícil de abandonar.",91,,,,
18,Black,2006,First-Person Shooter,Criterion Games,Black,"Black construiu sua identidade em torno do impacto visual e sonoro das armas. Mesmo com uma estrutura direta, demonstrou o quanto um shooter de console poderia parecer intenso e destrutivo, tornando-se uma vitrine técnica marcante do fim da geração PlayStation 2.",79,,,,
19,Need for Speed: Most Wanted,2005,Racing,EA Canada,Need for Speed,"Most Wanted combinou corridas urbanas, perseguições policiais e progressão em torno da Blacklist. A BMW M3 GTR, o tom amarelado e a pressão constante das autoridades criaram uma identidade que ainda define a memória popular de Need for Speed.",83,,,,
20,The Elder Scrolls IV: Oblivion,2006,RPG,Bethesda Game Studios,The Elder Scrolls,"Oblivion abriu Cyrodiil como um mundo amplo, acessível e cheio de histórias paralelas. Sua liberdade, exploração e sistema de missões ajudaram a popularizar o RPG de mundo aberto nos consoles de alta definição.",94,,,,
21,Gears of War,2006,Third-Person Shooter,Epic Games,Gears of War,"Gears of War consolidou o combate baseado em cobertura com peso, impacto e leitura visual imediata. Sua estética destruída, cooperação e ritmo de batalha influenciaram inúmeros jogos de ação em terceira pessoa durante a geração Xbox 360.",94,,,,
22,BioShock,2007,First-Person Shooter,Irrational Games,BioShock,"BioShock transformou a cidade submarina de Rapture em argumento político, cenário e ameaça. Ao combinar exploração, poderes e escolhas dentro de um shooter, criou uma experiência lembrada tanto por seus sistemas quanto por aquilo que questiona sobre controle.",96,,,,
23,Mass Effect,2007,RPG,BioWare,Mass Effect,"Mass Effect levou decisões, relações e exploração espacial para uma saga planejada em vários jogos. A Normandy e sua tripulação fizeram o universo parecer pessoal, enquanto o diálogo e as escolhas deram ao jogador uma participação incomum na construção da história.",91,,,,
24,Call of Duty 4: Modern Warfare,2007,First-Person Shooter,Infinity Ward,Call of Duty,Modern Warfare deslocou Call of Duty para conflitos contemporâneos com ritmo cinematográfico e missões muito variadas. Sua campanha e seu multiplayer estabeleceram um modelo dominante para shooters militares e para a progressão online nos anos seguintes.,94,,,,
25,Dead Space,2008,Survival Horror,EA Redwood Shores,Dead Space,"Dead Space levou o terror de sobrevivência para corredores industriais no espaço, usando som, iluminação e interface integrada ao traje. O desmembramento estratégico e a vulnerabilidade de Isaac deram ao combate uma tensão própria e facilmente reconhecível.",89,,,,
26,Fallout 3,2008,RPG,Bethesda Game Studios,Fallout,"Fallout 3 transformou o deserto nuclear da série em um mundo tridimensional aberto à exploração. Washington em ruínas, escolhas morais e pequenas histórias espalhadas pelo mapa ajudaram a aproximar RPG, descoberta e narrativa ambiental de um público maior.",93,,,,
27,Assassin's Creed II,2009,Action-Adventure,Ubisoft Montreal,Assassin's Creed,"Assassin's Creed II refinou a promessa da série ao unir cidades históricas, mobilidade e a trajetória pessoal de Ezio Auditore. Sua evolução de personagem e variedade de atividades fizeram do Renascimento um espaço de aventura e memória.",91,,,,
28,Batman: Arkham Asylum,2009,Action-Adventure,Rocksteady Studios,Batman: Arkham,"Arkham Asylum fez o jogador sentir a presença física, investigativa e estratégica do Batman. O combate fluido, a exploração conectada e o uso dos vilões mostraram como uma adaptação poderia respeitar o personagem sem depender apenas de sua fama.",92,,,,
29,Demon's Souls,2009,RPG,FromSoftware,Demon's Souls,"Demon's Souls construiu uma aventura exigente baseada em observação, risco e aprendizado. Sua estrutura de mundos, combate deliberado e relação entre morte e progresso estabeleceu fundamentos que influenciariam profundamente os RPGs de ação modernos.",89,,,,
30,Uncharted 2: Among Thieves,2009,Action-Adventure,Naughty Dog,Uncharted,"Uncharted 2 aproximou ação, aventura e espetáculo com transições quase invisíveis entre narrativa e controle. Sequências como o trem mostraram como o videogame poderia criar cenas cinematográficas sem abandonar o ritmo da interação.",96,,,,
31,Red Dead Redemption,2010,Open World,Rockstar San Diego,Red Dead,"Red Dead Redemption transformou o fim do velho oeste em uma história sobre violência, mudança e impossibilidade de escapar do passado. O mundo aberto, os encontros e a trajetória de John Marston deram peso humano à fantasia de pistoleiro.",95,,,,
32,Fallout: New Vegas,2010,RPG,Obsidian Entertainment,Fallout,"New Vegas usou o deserto de Mojave para construir facções, conflitos e escolhas com consequências políticas claras. Sua escrita e liberdade de interpretação fizeram do mundo aberto um espaço onde identidade e decisão importam tanto quanto exploração.",84,,,,
33,Mass Effect 2,2010,RPG,BioWare,Mass Effect,"Mass Effect 2 concentrou a saga em uma missão suicida e em uma tripulação que precisava ser conhecida, preparada e conquistada. Sua estrutura de lealdade tornou relações pessoais parte do sistema central e elevou o impacto das escolhas finais.",96,,,,
34,Portal 2,2011,Puzzle,Valve,Portal,"Portal 2 ampliou a lógica dos portais com novos materiais, cooperação e uma narrativa guiada por humor e descoberta. Cada sala funciona como problema, piada e peça de um laboratório abandonado que ainda parece pensar.",95,,,,
35,The Elder Scrolls V: Skyrim,2011,RPG,Bethesda Game Studios,The Elder Scrolls,"Skyrim tornou a exploração de fantasia acessível em uma escala raramente vista nos consoles. Montanhas, ruínas, dragões e histórias paralelas criaram um mundo capaz de produzir jornadas muito diferentes para cada jogador.",96,,,,
36,Dark Souls,2011,RPG,FromSoftware,Dark Souls,"Dark Souls construiu um mundo conectado, hostil e pouco explicado, no qual aprender significava observar e insistir. Seu combate, sua narrativa fragmentada e a relação entre dificuldade e descoberta mudaram a linguagem dos RPGs de ação.",89,,,,
37,Batman: Arkham City,2011,Action-Adventure,Rocksteady Studios,Batman: Arkham,"Arkham City expandiu a fórmula de seu antecessor para uma área urbana aberta sem perder densidade. O movimento, o combate e a presença de vários antagonistas fizeram Gotham parecer um sistema vivo de ameaças e histórias.",96,,,,
38,Far Cry 3,2012,First-Person Shooter,Ubisoft Montreal,Far Cry,"Far Cry 3 combinou mundo aberto, sobrevivência e caos emergente em uma ilha dominada por violência. Vaas e a progressão do protagonista deram personalidade a uma estrutura que influenciaria muitos jogos de ação posteriores.",91,,,,
39,BioShock Infinite,2013,First-Person Shooter,Irrational Games,BioShock,"BioShock Infinite levou a série para a cidade flutuante de Columbia e colocou identidade, excepcionalismo e realidades paralelas no centro da narrativa. Sua direção visual e relação entre Booker e Elizabeth sustentam uma aventura grandiosa e inquieta.",94,,,,
40,Tomb Raider,2013,Action-Adventure,Crystal Dynamics,Tomb Raider,"Tomb Raider reconstruiu Lara Croft como uma sobrevivente vulnerável, mas determinada. Exploração, combate e progressão deram nova forma à franquia, aproximando aventura cinematográfica e construção gradual da personagem.",87,,,,
41,The Last of Us,2013,Action-Adventure,Naughty Dog,The Last of Us,"The Last of Us transformou uma viagem por um mundo em colapso em uma história íntima sobre vínculo, medo e perda. A relação entre Joel e Ellie deu peso emocional ao combate e estabeleceu uma nova referência para narrativas dramáticas nos jogos.",95,,,,
42,Grand Theft Auto V,2013,Open World,Rockstar North,Grand Theft Auto,"Grand Theft Auto V apresentou Los Santos por três protagonistas com perspectivas e ritmos diferentes. A escala do mundo, a troca entre personagens e a atenção aos detalhes consolidaram a ambição técnica e cultural da série.",97,,,,
43,The Witcher 3: Wild Hunt,2015,RPG,CD Projekt Red,The Witcher,"The Witcher 3 construiu um mundo aberto no qual até pequenas missões carregam contexto, ambiguidade e consequência. A jornada de Geralt e Ciri mostrou como escala e escrita cuidadosa poderiam coexistir em um RPG de grande orçamento.",93,,,,
